Year,Month,Price_beef_kilo,Price_rice_kilo,Price_coffee_kilo
1992,Feb,2.52,0.28,1.51
1992,Mar,2.45,0.28,1.55
1992,Apr,2.38,0.28,1.45
1992,May,2.38,0.27,1.34
1992,Jun,2.33,0.27,1.3
1992,Jul,2.35,0.28,1.28
1992,Aug,2.45,0.27,1.17
1992,Sep,2.44,0.26,1.17
1992,Oct,2.5,0.25,1.36
1992,Nov,2.54,0.25,1.48
1992,Dec,2.54,0.26,1.7
1993,Jan,2.35,0.26,1.53
1993,Feb,2.39,0.25,1.49
1993,Mar,2.53,0.23,1.4
1993,Apr,2.59,0.21,1.28
1993,May,2.68,0.18,1.37
1993,Jun,2.74,0.19,1.38
1993,Jul,2.82,0.2,1.58
1993,Aug,2.8,0.21,1.7
1993,Sep,2.73,0.21,1.78
1993,Oct,2.67,0.26,1.69
1993,Nov,2.64,0.31,1.73
1993,Dec,2.46,0.32,1.79
1994,Jan,2.42,0.36,1.74
1994,Feb,2.49,0.34,1.85
1994,Mar,2.69,0.27,1.92
1994,Apr,2.63,0.27,2
1994,May,2.39,0.23,2.69
1994,Jun,2.23,0.21,3.16
1994,Jul,2.19,0.23,4.83
1994,Aug,2.2,0.25,4.42
1994,Sep,2.21,0.26,4.89
1994,Oct,2.12,0.26,4.45
1994,Nov,2.19,0.26,4.03
1994,Dec,2.23,0.26,3.72
1995,Jan,2.13,0.28,3.81
1995,Feb,2.16,0.28,3.74
1995,Mar,2.04,0.29,3.96
1995,Apr,1.92,0.28,3.84
1995,May,1.75,0.29,3.77
1995,Jun,1.66,0.33,3.41
1995,Jul,1.63,0.35,3.21
1995,Aug,1.69,0.34,3.38
1995,Sep,1.76,0.36,2.96
1995,Oct,1.82,0.38,2.81
1995,Nov,1.94,0.34,2.76
1995,Dec,1.91,0.34,2.34
1996,Jan,1.86,0.37,2.44
1996,Feb,1.81,0.37,2.74
1996,Mar,1.72,0.36,2.66
1996,Apr,1.72,0.33,2.72
1996,May,1.7,0.33,2.85
1996,Jun,1.65,0.34,2.77
1996,Jul,1.68,0.36,2.7
1996,Aug,1.76,0.34,2.78
1996,Sep,1.75,0.33,2.62
1996,Oct,1.79,0.31,2.74
1996,Nov,1.77,0.32,2.74
1996,Dec,1.79,0.32,2.58
1997,Jan,1.77,0.36,2.93
1997,Feb,1.84,0.35,3.71
1997,Mar,2.04,0.32,4.29
1997,Apr,2,0.3,4.56
1997,May,1.9,0.32,5.89
1997,Jun,1.76,0.32,4.89
1997,Jul,1.8,0.32,4.2
1997,Aug,1.84,0.28,4.21
1997,Sep,1.79,0.27,4.19
1997,Oct,1.76,0.27,3.7
1997,Nov,1.83,0.25,3.53
1997,Dec,1.85,0.27,3.91
1998,Jan,1.82,0.29,3.92
1998,Feb,1.79,0.3,3.93
1998,Mar,1.79,0.3,3.48
1998,Apr,1.79,0.31,3.31
1998,May,1.78,0.32,3.04
1998,Jun,1.7,0.33,2.75
1998,Jul,1.67,0.32,2.59
1998,Aug,1.66,0.32,2.72
1998,Sep,1.64,0.32,2.47
1998,Oct,1.64,0.3,2.42
1998,Nov,1.66,0.27,2.57
1998,Dec,1.66,0.28,2.59
1999,Jan,1.71,0.3,2.49
1999,Feb,1.79,0.28,2.33
1999,Mar,1.76,0.26,2.32
1999,Apr,1.72,0.24,2.25
1999,May,1.73,0.24,2.45
1999,Jun,1.72,0.25,2.36
1999,Jul,1.78,0.26,2.09
1999,Aug,1.92,0.24,2.01
1999,Sep,1.87,0.23,1.86
1999,Oct,1.85,0.22,2.08
1999,Nov,1.93,0.23,2.5
1999,Dec,1.94,0.23,2.74
2000,Jan,1.95,0.24,2.45
2000,Feb,1.96,0.24,2.28
2000,Mar,1.98,0.23,2.22
2000,Apr,1.98,0.21,2.09
2000,May,1.99,0.2,2.08
2000,Jun,1.93,0.2,1.91
2000,Jul,1.9,0.19,1.93
2000,Aug,1.89,0.19,1.7
2000,Sep,1.81,0.18,1.67
2000,Oct,1.82,0.19,1.69
2000,Nov,1.97,0.18,1.58
2000,Dec,1.93,0.18,1.46
2001,Jan,1.93,0.18,1.45
2001,Feb,1.92,0.18,1.48
2001,Mar,1.98,0.18,1.47
2001,Apr,1.98,0.16,1.46
2001,May,2.01,0.16,1.53
2001,Jun,2.05,0.17,1.41
2001,Jul,2.12,0.17,1.29
2001,Aug,2.21,0.17,1.32
2001,Sep,2.36,0.17,1.28
2001,Oct,2.27,0.17,1.24
2001,Nov,2.28,0.17,1.3
2001,Dec,2.16,0.18,1.25
2002,Jan,2.21,0.19,1.28
2002,Feb,2.23,0.2,1.3
2002,Mar,2.35,0.19,1.42
2002,Apr,2.25,0.19,1.44
2002,May,2.12,0.2,1.35
2002,Jun,2.06,0.2,1.29
2002,Jul,2.13,0.2,1.25
2002,Aug,2.1,0.19,1.2
2002,Sep,2.04,0.19,1.34
2002,Oct,1.9,0.19,1.45
2002,Nov,1.91,0.19,1.54
2002,Dec,2.01,0.19,1.41
2003,Jan,2.04,0.2,1.45
2003,Feb,1.99,0.2,1.46
2003,Mar,2.02,0.2,1.36
2003,Apr,1.97,0.2,1.43
2003,May,1.88,0.2,1.46
2003,Jun,1.87,0.2,1.35
2003,Jul,1.91,0.2,1.39
2003,Aug,2.11,0.2,1.41
2003,Sep,2.27,0.2,1.46
2003,Oct,2.33,0.2,1.42
2003,Nov,2.59,0.19,1.37
2003,Dec,2.55,0.2,1.43
2004,Jan,2.54,0.21,1.6
2004,Feb,2.39,0.21,1.68
2004,Mar,2.34,0.24,1.72
2004,Apr,2.43,0.24,1.66
2004,May,2.68,0.23,1.7
2004,Jun,2.76,0.23,1.81
2004,Jul,2.81,0.23,1.65
2004,Aug,2.92,0.24,1.62
2004,Sep,2.93,0.24,1.77
2004,Oct,2.79,0.24,1.78
2004,Nov,2.77,0.26,1.99
2004,Dec,2.71,0.28,2.3
2005,Jan,2.69,0.29,2.36
2005,Feb,2.7,0.29,2.66
2005,Mar,2.75,0.29,2.98
2005,Apr,2.74,0.3,2.86
2005,May,2.77,0.29,2.83
2005,Jun,2.78,0.28,2.67
2005,Jul,2.81,0.28,2.42
2005,Aug,2.76,0.28,2.39
2005,Sep,2.75,0.29,2.19
2005,Oct,2.7,0.29,2.32
2005,Nov,2.7,0.28,2.38
2005,Dec,2.65,0.28,2.33
2006,Jan,2.62,0.29,2.74
2006,Feb,2.65,0.3,2.63
2006,Mar,2.62,0.3,2.51
2006,Apr,2.6,0.3,2.54
2006,May,2.62,0.31,2.41
2006,Jun,2.57,0.31,2.27
2006,Jul,2.62,0.32,2.31
2006,Aug,2.66,0.31,2.46
2006,Sep,2.68,0.31,2.42
2006,Oct,2.69,0.3,2.44
2006,Nov,2.77,0.3,2.7
2006,Dec,2.7,0.3,2.83
2007,Jan,2.69,0.31,2.75
2007,Feb,2.71,0.32,2.69
2007,Mar,2.69,0.32,2.58
2007,Apr,2.69,0.32,2.53
2007,May,2.7,0.32,2.5
2007,Jun,2.68,0.32,2.63
2007,Jul,2.67,0.33,2.59
2007,Aug,2.69,0.33,2.72
2007,Sep,2.69,0.32,2.82
2007,Oct,2.67,0.33,2.96
2007,Nov,2.72,0.34,2.89
2007,Dec,2.73,0.36,3.03
2008,Jan,2.77,0.38,3.08
2008,Feb,2.89,0.46,3.47
2008,Mar,3.01,0.59,3.3
2008,Apr,3.16,0.91,3.1
2008,May,3.51,0.9,3.13
2008,Jun,3.66,0.76,3.22
2008,Jul,3.93,0.73,3.25
2008,Aug,3.84,0.69,3.23
2008,Sep,3.56,0.68,3.16
2008,Oct,3.11,0.61,2.72
2008,Nov,2.73,0.55,2.69
2008,Dec,2.66,0.53,2.62
2009,Jan,2.64,0.58,2.83
2009,Feb,2.54,0.59,2.85
2009,Mar,2.61,0.59,2.83
2009,Apr,2.64,0.55,2.97
2009,May,2.72,0.53,3.33
2009,Jun,2.74,0.57,3.3
2009,Jul,2.79,0.57,3.11
2009,Aug,2.8,0.53,3.3
2009,Sep,2.81,0.52,3.27
2009,Oct,2.75,0.49,3.41
2009,Nov,2.83,0.54,3.36
2009,Dec,2.88,0.59,3.49
2010,Jan,3.02,0.57,3.5
2010,Feb,3.21,0.54,3.48
2010,Mar,3.4,0.5,3.63
2010,Apr,3.66,0.47,3.73
2010,May,3.58,0.45,3.82
2010,Jun,3.33,0.44,4.21
2010,Jul,3.27,0.44,4.48
2010,Aug,3.41,0.45,4.66
2010,Sep,3.39,0.48,4.91
2010,Oct,3.37,0.49,4.8
2010,Nov,3.5,0.51,5.15
2010,Dec,3.88,0.53,5.47
2011,Jan,4.19,0.52,5.82
2011,Feb,4.08,0.52,6.35
2011,Mar,4.19,0.49,6.44
2011,Apr,4.33,0.48,6.62
2011,May,4.16,0.48,6.42
2011,Jun,3.94,0.51,6.06
2011,Jul,3.94,0.54,5.91
2011,Aug,3.93,0.57,5.96
2011,Sep,3.83,0.6,6.06
2011,Oct,3.92,0.6,5.46
2011,Nov,4.2,0.62,5.4
2011,Dec,4.22,0.59,5.22
2012,Jan,4.26,0.54,5.23
2012,Feb,4.31,0.54,4.94
2012,Mar,4.35,0.55,4.44
2012,Apr,4.29,0.55,4.22
2012,May,4.22,0.6,4.07
2012,Jun,4.12,0.6,3.72
2012,Jul,4.03,0.57,4.2
2012,Aug,4.1,0.57,3.85
2012,Sep,4.06,0.56,3.95
2012,Oct,4.07,0.56,3.82
2012,Nov,4.29,0.56,3.53
2012,Dec,4.37,0.56,3.37
2013,Jan,4.36,0.56,3.47
2013,Feb,4.35,0.56,3.3
2013,Mar,4.29,0.56,3.3
2013,Apr,4.27,0.56,3.3
2013,May,4.1,0.54,3.24
2013,Jun,3.93,0.52,3.05
2013,Jul,3.94,0.51,3.05
2013,Aug,3.95,0.48,2.98
2013,Sep,3.99,0.44,2.92
2013,Oct,4.04,0.44,2.84
2013,Nov,4.14,0.44,2.69
2013,Dec,4.18,0.45,2.78
2014,Jan,4.18,0.45,2.93
2014,Feb,4.28,0.46,3.83
2014,Mar,4.47,0.42,4.72
2014,Apr,4.35,0.4,4.93
2014,May,4.38,0.39,4.72
2014,Jun,4.54,0.4,4.36
2014,Jul,5.17,0.42,4.34
2014,Aug,5.79,0.44,4.7
2014,Sep,6.17,0.43,4.64
2014,Oct,5.95,0.43,4.97
2014,Nov,5.84,0.42,4.62
2014,Dec,5.46,0.42,4.34
2015,Jan,5.3,0.42,4.19
2015,Feb,4.88,0.42,3.94
2015,Mar,4.72,0.41,3.54
2015,Apr,4.82,0.4,3.62
2015,May,4.5,0.38,3.49
2015,Jun,4.44,0.38,3.52
2015,Jul,4.65,0.39,3.41
2015,Aug,4.77,0.37,3.46
2015,Sep,4.58,0.36,3.22
2015,Oct,4.24,0.37,3.38
2015,Nov,4.03,0.37,3.26
2015,Dec,3.8,0.36,3.28
2016,Jan,3.63,0.37,3.2
2016,Feb,3.86,0.38,3.26
2016,Mar,4.03,0.38,3.47
2016,Apr,3.96,0.4,3.4
2016,May,4.04,0.43,3.42
2016,Jun,4.11,0.44,3.65
2016,Jul,4.26,0.44,3.79
2016,Aug,4.24,0.42,3.69
2016,Sep,4.12,0.38,3.89
2016,Oct,4.04,0.37,3.95
2016,Nov,4.3,0.36,4.06
2016,Dec,4.14,0.37,3.57
2017,Jan,4.07,0.38,3.72
2017,Feb,4.23,0.37,3.67
2017,Mar,4.35,0.37,3.53
2017,Apr,4.41,0.38,3.43
2017,May,4.6,0.42,3.31
2017,Jun,4.68,0.46,3.16
2017,Jul,4.67,0.42,3.3
2017,Aug,4.47,0.39,3.3
2017,Sep,4.3,0.4,3.23
2017,Oct,4.25,0.39,3.1
2017,Nov,4.33,0.4,3.11
2017,Dec,4.28,0.41,3.03
2018,Jan,4.3,0.44,3.06
2018,Feb,4.35,0.42,3
2018,Mar,4.44,0.43,2.98
2018,Apr,4.38,0.45,2.96
2018,May,4.32,0.45,2.99
2018,Jun,4.24,0.43,2.95
2018,Jul,4.19,0.4,2.88
2018,Aug,4.11,0.4,2.76
2018,Sep,4.01,0.4,2.67
2018,Oct,3.86,0.41,3.03
2018,Nov,3.95,0.4,3.02
2018,Dec,4.19,0.4,2.8
2019,Jan,4.24,0.41,2.83
2019,Feb,4.28,0.41,2.83
2019,Mar,4.48,0.41,2.73
2019,Apr,4.7,0.41,2.67
2019,May,4.6,0.41,2.66
2019,Jun,4.63,0.42,2.86
2019,Jul,4.63,0.42,2.99
2019,Aug,4.6,0.43,2.78
2019,Sep,4.65,0.43,2.84
2019,Oct,4.86,0.42,2.8
2019,Nov,5.94,0.42,3.11
2019,Dec,5.56,0.43,3.46
2020,Jan,5.04,0.45,3.13
2020,Feb,4.72,0.45,2.99
2020,Mar,4.47,0.49,3.27
2020,Apr,4.45,0.56,3.41
2020,May,5.08,0.51,3.3
2020,Jun,5.1,0.52,3.12
2020,Jul,4.7,0.48,3.24
2020,Aug,4.63,0.5,3.6
2020,Sep,4.6,0.51,3.67
2020,Oct,4.42,0.47,3.35
2020,Nov,4.4,0.49,3.32
2020,Dec,4.4,0.52,3.48
2021,Jan,4.46,0.55,3.54
2021,Feb,4.66,0.56,3.67
2021,Mar,4.72,0.52,3.68
2021,Apr,5.17,0.5,3.72
2021,May,5.48,0.49,4.11
2021,Jun,5.68,0.47,4.24
2021,Jul,5.59,0.41,4.5
2021,Aug,5.61,0.4,4.77
2021,Sep,5.66,0.4,4.97
2021,Oct,5.7,0.4,5.31
2021,Nov,5.95,0.4,5.71
2021,Dec,5.95,0.4,5.91
